Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
09/30/2014,23:51:00,MCP,"1st district, Rockville",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,PARK RD AT HUNGERFORD DR,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,FORD,MUSTANG,BLACK,Citation,21-202(h1),Transportation Article,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,
03/31/2015,23:59:00,MCP,"2nd district, Bethesda",HEADLIGHTS (*),CONNECTICUT AT METROPOLITAN AVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,HONDA,2S,BLUE,ESERO,55*,,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,
09/30/2014,23:30:00,MCP,"5th district, Germantown",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,OBSERVATION @ RIDGE ROAD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYOTA,CAMRY,RED,Warning,22-226(a),Transportation Article,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,
03/31/2015,23:59:00,MCP,"5th district, Germantown",DRIVER FAILURE TO STOP AT STOP SIGN LINE,W/B PLYERS MILL RD AT METROPOLITAN AVE,39.033823333333295,-77.07544,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,ACURA,MDX,BLACK,Warning,21-707(a),Transportation Article,No,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol,"(39.0338233333333, -77.07544)"
03/31/2015,23:58:00,MCP,"2nd district, Bethesda",STOP LIGHTS (*),2355 NB AT BATTERY LN,38.991626666666704,-77.095805,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2003.0,NISSAN,MURANO,SILVER,ESERO,64*,,No,OTHER,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(38.9916266666667, -77.095805)"
03/31/2015,23:58:00,MCP,"4th district, Wheaton",DRIVING  MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,EB BEL PRE RD / LAYHILL RD,39.0915833333333,-77.0426416666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,CIVIC,SILVER,Citation,16-101(a),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0915833333333, -77.0426416666667)"
03/31/2015,23:58:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,EB BEL PRE RD / LAYHILL RD,39.0915833333333,-77.0426416666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,CIVIC,SILVER,Citation,16-115(g),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0915833333333, -77.0426416666667)"
03/31/2015,23:58:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,EB BEL PRE RD / LAYHILL RD,39.0915833333333,-77.0426416666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,CIVIC,SILVER,Citation,16-112(c),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0915833333333, -77.0426416666667)"
03/31/2015,23:58:00,MCP,"4th district, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,EB BEL PRE RD / LAYHILL RD,39.0915833333333,-77.0426416666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,CIVIC,SILVER,Citation,13-409(b),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0915833333333, -77.0426416666667)"
03/31/2015,23:58:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,EB BEL PRE RD / LAYHILL RD,39.0915833333333,-77.0426416666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,CIVIC,SILVER,Citation,16-303(d),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0915833333333, -77.0426416666667)"
03/31/2015,23:58:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,EB BEL PRE RD / LAYHILL RD,39.0915833333333,-77.0426416666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,CIVIC,SILVER,Citation,16-303(c),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0915833333333, -77.0426416666667)"
03/31/2015,23:58:00,MCP,"4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",EB BEL PRE RD / LAYHILL RD,39.0915833333333,-77.0426416666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,CIVIC,SILVER,Citation,16-303(h),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0915833333333, -77.0426416666667)"
09/30/2014,22:58:00,MCP,"2nd district, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,8500 RIVER RD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYOTA,CAMRY,SILVER,Warning,13-409(b),Transportation Article,No,WHITE,F,DARNESTOWN,MD,MD,A - Marked Patrol,
09/30/2014,22:58:00,MCP,"2nd district, Bethesda",STOPLIGHT INOPERATIVE,8500 RIVER RD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYOTA,CAMRY,SILVER,Warning,11-393.9,Maryland Rules,No,WHITE,F,DARNESTOWN,MD,MD,A - Marked Patrol,
09/30/2014,22:46:00,MCP,"2nd district, Bethesda",FAILURE TO PROPERLY EQUIP & LOCATE HEADLAMPS ON MOTOR VEH.,RIVER RD / FENWAY DR,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYOTA,TACOMA,GREEN,Warning,22-203(b),Transportation Article,No,WHITE,F,POOLESVILLE,MD,MD,A - Marked Patrol,
03/31/2015,23:57:00,MCP,"3rd district, Silver Spring",DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,GEORGIA AVE AT WAYNE AVE,38.9938116666667,-77.02622833333331,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,INFINITY,G35X,SILVER,Warning,23-104,Transportation Article,No,BLACK,M,UPPER MARLBORO,MD,MD,A - Marked Patrol,"(38.9938116666667, -77.0262283333333)"
03/31/2015,23:56:00,MCP,"3rd district, Silver Spring",MOTOR VEH. W/O REQUIRED STOP LAMPS EQUIPMENT,13TH ST/GEORGIA AVE,38.9872966666667,-77.0271916666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYOTA,CAMRY,SILVER,Warning,22-206(a),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(38.9872966666667, -77.0271916666667)"
